title,location2,present_as,audience_type,date,audience_desc,location1
Speech by the President of Ukraine at the 58th Munich Security Conference,Germany,In-person,Multi-national,19/02/2022,Speech at the 58th munich security conference,Germany
Address by the President of Ukraine,"Ukraine, Russia",Virtual,Multi-national,25/02/2022,Prime-time television address to population. Specific calls to russian and european leaders.,Ukraine
Address by the President of Ukraine in the evening of the second day of the large-scale war,"Ukraine, Georgia",Virtual,Multi-national,26/02/2022,Prime-time television address to population. Specific calls to georgia and to european leaders.,Ukraine
President of Ukraine Volodymyr Zelenskyy addressed the citizens of Belarus,"Belarus, Ukraine",Virtual,Multi-national,27/02/2022,Prime-time television address to population (ukraine) - directed towards belarus.,Ukraine
Address by the President of Ukraine to the Parliament of the United Kingdom,United Kingdom,Virtual,National,8/03/2022,Address to the parliament of the united kingdom,United Kingdom
Speech by President of Ukraine Volodymyr Zelenskyy in the Sejm of the Republic of Poland,Poland,Virtual,National,11/03/2022,Speech in the sejm of the republic of poland,Poland
Address by President of Ukraine Volodymyr Zelenskyy to Italians and all Europeans,Italy,Virtual,National,12/03/2022,Speech to italian crowd,Italy
Speech by President of Ukraine Volodymyr Zelenskyy in the Parliament of Canada,Canada,Virtual,National,15/03/2022,Speech to the parliament of canada,Canada
Address by President of Ukraine Volodymyr Zelenskyy to the US Congress,USA,Virtual,National,16/03/2022,Address to the us congress,United States
Address by President of Ukraine Volodymyr Zelenskyy to the Bundestag,Germany,Virtual,National,17/03/2022,Address to the bundestag (germany),Germany
Address by President of Ukraine Volodymyr Zelenskyy to the people of Switzerland,Switzerland,Virtual,National,19/03/2022,Address to the people of switzerland,Switzerland
Speech by President of Ukraine Volodymyr Zelenskyy in the Knesset,Israel,Virtual,National,20/03/2022,Speech in the knesset (israel pm and government),Israel
Address by President of Ukraine Volodymyr Zelenskyy to the Italian Chamber of Deputies,Italy,Virtual,National,22/03/2022,Address to the italian chamber of deputies,Italy
Speech by President of Ukraine Volodymyr Zelenskyy in the Parliament of Japan,Japan,Virtual,National,23/03/2022,Speech in the parliament of japan,Japan
"Speech by the President of Ukraine at a joint meeting of the Senate, the National Assembly of the French Republic and the Council of Paris",France,Virtual,National,23/03/2022,"Speech at a joint meeting of the senate, the national assembly of the french republic and the council of paris",France
